Species,Subspecies,Hybrid,MorphogroupID,SpeciesID,SubspeciesID,Clade2012,SpecimenID,HerbariumSheetID,Family,Species_Full_Name,Country,Fst_political,Snd_political,Locality,Habitat,Elevation,Latitude,LatitudeDeg,LatitudeMin,LatitudeSec,LatitudeNS,Longitude,LongitudeDeg,LongitudeMin,LongitudeSec,LongitudeEW,Collector,CollectorNumber,CollectionDate,DeterminedBy,SpecimenData,OlderLabelsData,Notes,DNA,TYPE,MO,NY,F,US,UC,RSA,GH,L,K,E,GOET,BR,LIL,CORD,CTES,SP,RB,REU,ANDES,SPF,CONC,SI,MOL,LPB,USZ
E. alpina,NA,0,27,8,0,F,PB84,E96277,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Maule,Talca,"Cordillera de los Andes, Valle del Maule",West facing margin of stream side,1750,-35.94527778,35,56,43,S,-70.50805556,70,30,29,W,"P. Baxter, P. Brownless, M. Bustos, M. Gardner, K. Matthews, H.S. Maxwell, D. Rae",84,2/5/98,F. Zapata 2007,"Spreading shrub to 2 m, flowers deep pinkish red, sometimes paler",,,0,0,,,,,,,,,,1,,,,,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,FZ489,MO6274113,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Maule,Talca,"Vilches Alto, Reserva Nacional Altos de Lircay, sendero hacia Laguna del Alto",A orillas de una quebrada en medio de pastizal altoandino (principalmente con Chusquea) formando un gran parche de E. alpina.  En la quebrada también hay Berberis.  En la parte más abajo de la quebrada (pocos metros más abajo) también crece E. virgata (FZ-484 onwards),1921,-35.59944444,35,35,58,S,-71.01,71,0,36,W,"F. Zapata, S. Sede",489,1/28/08,F. Zapata 2008,"Arbusto 1 m, flor rojiza",,,0,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
E. alpina,NA,0,27,8,0,F,FZ479,MO6274114,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Maule,Talca,"Vilches Alto, Reserva Nacional Altos de Lircay, sendero hacia Laguna del Alto",Parte alta del sendero cuando se acaba el bosque y empieza vegetación altoandina. En una quebrada con pequeño arbolito de Nothofagus. En simpatría absoluta con E. virgata,1913,-35.59972222,35,35,59,S,-71.01166667,71,0,42,W,"F. Zapata, S. Sede",479,1/28/08,F. Zapata 2008,"Arbusto 80 cm, flor rosada",,,0,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
E. alpina,NA,0,27,8,0,F,FZ401,MOUNM_FZ401,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Biobio,Nuble,"Chillán, Termas de Chillán, Cerro Fumarolas","Subiendo al cerro a ca. 100 m del primer cráter en una depresión húmeda formando un gran parche de E. alpina.  Crece a la sombra de una gran roca; el suelo está un poco seco por ser verano y hay algunas rocas muy grandes en medio del pastizal.  Crece con flora típica altoandina (arrosetada): Apiaceae, Rosaceae, Calceolaria, Plantago Lathyrus, Adesmia, Santalaceae",1914,-36.90527778,36,54,19,S,-71.40361111,71,24,13,W,"F. Zapata, S. Sede",401,1/22/08,F. Zapata 2008,"Arbusto 30 cm, flores rosado muy pálido! creciendo junto a otras formas de E. alpina con flores rosado más oscuro o aún más rojizo.  Muchas moscas y abejas visitando flores",,,0,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
E. alpina,NA,0,27,8,0,F,FZ400,MO6274107,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Biobio,Nuble,"Chillán, Termas de Chillán, Cerro Fumarolas","Subiendo al cerro a ca. 100 m del primer cráter en una depresión húmeda formando un gran parche de E. alpina.  Crece a la sombra de una gran roca; el suelo está un poco seco por ser verano y hay algunas rocas muy grandes en medio del pastizal.  Crece con flora típica altoandina (arrosetada): Apiaceae, Rosaceae, Calceolaria, Plantago Lathyrus, Adesmia, Santalaceae",1912,-36.90527778,36,54,19,S,-71.40333333,71,24,12,W,"F. Zapata, S. Sede",400,1/22/08,F. Zapata 2008,"Arbusto 50 cm, flores rojizas. Muchas moscas y abjeas visitando las flores",,,0,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
E. alpina,NA,0,27,8,0,F,FZ424,MO6274108,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Biobio,Nuble,"Antuco, Parque Nacional Laguna del Laja, pasando refugio, frente a laguna (apenas empieza la laguna).","Terreno pedregoso, suelo volcánico, lugar muy agreste con fuertes vientos",1255,-37.37805556,37,22,41,S,-71.36222222,71,21,44,W,"F. Zapata, S. Sede",424,1/22/08,F. Zapata 2008,"Arbusto rastrero muy ramificado a nivel del suelo, ca. 20 cm de altura y resguardado del viento bajo la sombra de grtandes rocas, muchas flores rojas",,"It has glands in the ovary and resembles in a way E. rubra. However looking at the series of collections from this area, there are individuals with and without glands, therefore I consider this to be a polymorphism at the level of population and not a character of E. rubra per se.  Also, the glands are only presnent in the ovary and not in the leaves.   Another spcm with glands is FZ421",0,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
E. alpina,NA,0,27,8,0,F,PB972,E182299,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Araucania,Malleco,"Curacautín, Parque Nacional Conguillio, path to Sierra Nevada",Dry volcanic ash slopes,1663,-38.61972222,38,37,11,S,-71.59916667,71,35,57,W,"P. Brownless, M.F. Gardner, P. Hechenleitner, P. Hollingsworth, A. Lovett, C. Martínez, P. Thomas - Darwin Chilean Intiative",972,1/26/04,F. Zapata 2007,Semi-prostrate shrub with deep red flowers,,,0,0,,,,,,,,,,1,,,,,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,RF4349,NY_RF4349,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Argentina,Neuquén,Norquin,"2 km de Copahue en dirección a Caviahue, por ruta prov. 27",Estepa,1940,-37.83444444,37,50,4,S,-71.09083333,71,5,27,W,"R.H. Fortunato, M. Elechosa, R. Gandullo",4349,3/1/94,F. Zapata 2005,"Arbusto de 1-1.5m, flor roja",,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,F15998,GH_FH15998,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Araucania,Cautín,Volcán Villarica,,1200,-39.38333333,39,23,,S,-71.98333333,71,59,,W,F.W. Hunnewell,15998,1/13/39,F. Zapata 2007,,E. rosea by C.W. Hamilton,,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,MG6904,E182448,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Araucania,Malleco,"Cunco, Cordillera de los Andes, Rersva Nasampulli",Hill summit of Araucaria araucana and Nothofagus forest with rocky outcrops,1357,-39.01875,39,1,7.5,S,-71.68558333,71,41,8.1,W,"M.F. Gardner, S.G. Knees",6904,1/1/04,F. Zapata 2007,"Ascending shrub to 80 cm, with white and rosey pink flowers. Leaves glossy, pale beneath, mid-greed above",,,0,0,,,,,,,,,,1,,,,,,,,,,,1,,,,
E. alpina,NA,0,27,8,0,F,FZ518,MO6274105,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Los Lagos,Osorno,"Parque Nacional Puyehue, subiendo a volcán Casablanca, por detrás del refugio Andino","Parte alta del bosque de Nothofagus en transición a vegetación típica altoandina, con algunos poco Nothofagus, Gaultheria, Drymis. Suelo volcánico",1130,-40.77444444,40,46,28,S,-72.20027778,72,12,1,W,"F. Zapata, S. Sede",518,2/1/08,F. Zapata 2008,"Arbusto 1m, flores rosadas",,,0,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
E. alpina,NA,0,27,8,0,F,KR4614,MO2989818,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Argentina,RIo Negro,Bariloche,Cerro Lopez,,1650,-41.1,41,6,,S,-71.58333333,71,35,,W,"K. Rahn, S. Ødum",4614,3/2/79,K. Rahn 1980,,E. rosea C.W. Hamilton,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,CE10626,BR873404,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Los Lagos,Chaitén,"Santa Lucía, near Carretera Austral, a 81 km de Chaitén",Foret a Nothofagus dombeyi,600,-43.41666667,43,25,,S,-73.35944444,73,21,34,W,C. Evrard,10626,2/9/85,F. Zapata 2007,"Arbuste 2 m de haut, jeunes fr",,,0,0,,,,,,,,,,,,1,,,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,JK20,COR_JK20,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Argentina,Chubut,Valle de la Laguna Blanca,,,700,-45.86666667,45,52,,S,-71.25,71,15,,W,J. Koslowsky,20,10/30/06,F. Zapata 2007,,E. fonckii Sleumer 1953,,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,PM69850,COR_PM69850,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Argentina,Santa Cruz,Parque Nacional Los Glaciares,Lago Argentino,,800,-50.47444444,50,28,28,S,-72.48055556,72,28,50,W,P. Moreau,69850,2/3/55,F. Zapata 2007,,,,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,GS2641,NY_GS2641,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Magallanes,Puerto Natales,"Parque Nacional Torres del Paine, 3 hrs by car north of Puerto Natales, southern Chile, southern extremes of the Andes",Trip from Guarderia Laguna Azul along boundary of park to Nothofagus forest. Meadow just below forest. Haevy shade,600,-50.86777778,50,52,4,S,-72.79527778,72,47,43,W,"G.L. Sobel, J. Strudwick",2641,1/1/81,F. Zapata 2007,"Spreading shrub only ca. 30 cm high, possibly higher in places with more light. Flowers white to pale pink. Grassy area",E. rosea C.W. Hamilton,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,MG6031,E96581,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Magallanes,Ultima Esperanza,"Torres del Paine, mountain route from Hosteria Los Torres near swing bridge of the Rio Ascencio",Steep grassy slopes,500,-50.98333333,50,59,,S,-72.85,72,51,,W,"M.F. Gardner, S.G. Knees",6031,11/4/96,F. Zapata 2007,Evergreen shrub,,,0,0,,,,,,,,,,1,,,,,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,MF6193,E131002,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Magallanes,Ultima Esperanza,"Torres del Paine, Lago Gray",Notofagus pumilo forest,50,-51.12722222,51,7,38,S,-73.13027778,73,7,49,W,"M.F. Gardner, S.G. Knees",6193,12/9/99,F. Zapata 2007,Shrub to 1.5 m (often less). Flowers deep pink (sometimes white or pale pink),,,0,0,,,,,,,,,,1,,,,,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,PH335,E236125,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Magallanes,Ultima Esperanza,"Torres del Paine, Monumento Nacional Cueva del Milodón","Creciendo en asociación con Discaria chacaye, Embothrium coccineum, Empetrum rubrum, Escallonia virgata, Gaultheria mucronata y Nothofagus antartica",140,-51.56794444,51,34,4.6,S,-72.61786111,72,37,4.3,W,"P. Hechenleitner, M.F. Gardner, C. Martínez, R. Ennos",335,2/22/06,F. Zapata 2007,Arbusto de hasta 1.5 m con frutos,,,1,0,,,,,,,,,,1,,,,,,,,,,,1,,,,
E. alpina,NA,0,27,8,0,F,FZ416,MO6274110,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Biobio,Nuble,"Antuco, Parque Nacional Laguna del Laja, pasando refugio, frente a laguna (apenas empieza la laguna).","Terreno pedregoso, suelo volcánico, lugar muy agreste con fuertes vientos",1256,-37.37805556,37,22,41,S,-71.36222222,71,21,44,W,"F. Zapata, S. Sede",416,1/22/08,F. Zapata 2008,"Arbustro rastrero muy ramificado a nivel del suelo, creciendo sobre roca volcánica, ca. 20 cm de altura; flor rojiza",,,0,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
E. alpina,NA,0,27,8,0,F,FZ422,MO6274109,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Biobio,Nuble,"Antuco, Parque Nacional Laguna del Laja, pasando refugio, frente a laguna (apenas empieza la laguna).","Terreno pedregoso, suelo volcánico, lugar muy agreste con fuertes vientos",1259,-37.37805556,37,22,41,S,-71.36222222,71,21,44,W,"F. Zapata, S. Sede",422,1/22/08,F. Zapata 2008,"Arbustro rastrero muy ramificado a nivel del suelo, creciendo sobre roca volcánica, ca. 20 cm de altura; flor rojiza",,,0,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
E. alpina,NA,0,27,8,0,F,FZ92,MO6276156,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Santiago,Valle Rio Mapocho,Villa Paulina Yerba Loca,En zona seca y rocosa,2085,-33.30333333,33,18,12,S,-70.32027778,70,19,13,W,F. Zapata,92,9/25/05,F. Zapata 2005,"Arbusto 1 m, ramas jovenes con hojas coriaceas en tallos cortos. No flores",,,1,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
E. alpina,NA,0,27,8,0,F,FZ94,MO6276157,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Santiago,Valle Rio Mapocho,Villa Paulina Yerba Loca,En zona seca y rocosa,2165,-33.29611111,33,17,46,S,-70.31416667,70,18,51,W,F. Zapata,94,9/24/05,F. Zapata 2005,"Arbusto rastrero, hojas jóvenes verde muy brillante, muy glandulares, frutos secos. Agallas en algunas ramas. Parece una forma juvenil de E. alpina pero las hojas estan muy jóvenes ya que es muy alto y cerca de la nieve",,,1,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
E. alpina,NA,0,27,8,0,F,FZ112,MO6276155,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Los Lagos,Osorno,"Volcan Antillanca, muy cerca del refugio Andino",En el limite superior de bosque de Nothofagus justo antes de empezar el limite de la nieve,1050,-40.77527778,40,46,31,S,-72.20388889,72,12,14,W,F. Zapata,112,10/26/05,F. Zapata 2005,"Arbusto 80 cm, tallos jóvenes rojizos, hojas con marines marcadamente aserrados y rojizos, no flores, no frutos; escaso",,,1,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
E. alpina,NA,0,27,8,0,F,FZ332,MO6276160,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Santiago,Valle Rio Mapocho,Villa Paulina Yerba Loca,"Subiendo al nevado, cerca de una depresión muy humeda; creciendo con Fabiana sp. Y Escallonia myrtoidea",2033,-33.30055556,33,18,2,S,-70.31805556,70,19,5,W,F. Zapata,332,1/12/08,F. Zapata 2008,"Arbusto 80 cm, madera amarillosa, flores rosadas",,,1,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
E. alpina,NA,0,27,8,0,F,FZ334,MO6276161,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Santiago,Valle Rio Mapocho,Villa Paulina Yerba Loca,"Subiendo al nevado, cerca de una depresión muy humeda; creciendo con Fabiana sp. Y Escallonia myrtoidea",2034,-33.30055556,33,18,2,S,-70.31808333,70,19,5.1,W,F. Zapata,334,1/12/08,F. Zapata 2008,"Arbusto 50 cm, muy ramificado, flor rosada, creciendo debajo (en la sombra) de Escallonia myrtoidea (FZ333)",,,1,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
E. alpina,NA,0,27,8,0,F,FZ335,MO6276162,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Santiago,Valle Rio Mapocho,Villa Paulina Yerba Loca,"Subiendo al nevado, en lugar despejado, completamente expuesto, suelo arenoso, seco",2037,-33.3,33,18,,S,-70.31777778,70,19,4,W,F. Zapata,335,1/12/08,F. Zapata 2008,"Arbusto 80 cm, hojas lanceadas muy delgadas, esteril, parece E. Alpina pero hay algunas hojas que son muy grandes y anchas. Variante ecológica de E. alpina? Introgresión genética de E. Alpina con E. myrtoidea?",,,1,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
E. alpina,NA,0,27,8,0,F,FZ336,MO6276163,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Santiago,Valle Rio Mapocho,Villa Paulina Yerba Loca,Subiendo al nevado a orillas del rio,2008,-33.29666667,33,17,48,S,-70.315,70,18,54,W,F. Zapata,336,1/12/08,F. Zapata 2008,"Arbusto ca. 2 m! Muy ramificado!, botones florales rosados",,,1,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
E. alpina,NA,0,27,8,0,F,FZ337,MO6276166,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Santiago,Valle Rio Mapocho,Villa Paulina Yerba Loca,Subiendo al nevado a orillas del rio,2005,-33.29666667,33,17,48,S,-70.31502778,70,18,54.1,W,F. Zapata,337,1/12/08,F. Zapata 2008,"Arbusto 1.5 m, botones flores rosados",,,1,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
E. alpina,NA,0,27,8,0,F,FZ523,MO6274100,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Los Lagos,Osorno,"Parque Nacional Puyehue, volcán Casablanca, crater Raihuen","En el fondo del crater inactivo del volvcan que esta cubierto con diferentes géneros de Poaceae. Otras plantas son Tribeles australis, diferentes Ericaceae, Quinchamalium. Creciendo en la sombra de los afloramientos rocosos dentro del crater",1276,-40.77805556,40,46,41,S,-72.18916667,72,11,21,W,"F. Zapata, S. Sede",523,2/1/08,F. Zapata 2008,"Arbusto 80 cm, flores rosado intenso",,,1,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
E. alpina,alpina,0,27,8,1,F,M2048,L44,Escalloniaceae,Escallonia alpina Poepp. ex DC. var alpina,Chile,Araucania,Victoria,"Cautín, Termas del Rio Blanco",,1200,-38.57805556,38,34,41,S,-71.61666667,71,37,,W,Montero,2048,1/9/35,Sleumer 1966,,,,0,0,,,,,,,,1,,,,,,,,,,,,,,,,,
E. alpina,alpina,0,27,8,1,F,EW1264,MO939430,Escalloniaceae,Escallonia alpina Poepp. ex DC. var. alpina ,Chile,Cautín,,Volcán Llaima,,1300,-38.7,38,42,0,S,-71.71666667,71,43,0,W,E. Werdermann,1264,2/1/27,H. Sleumer 1968,,E. rosea by R. Liesner 1977; E. rosea by C.W. Hamilton 1999,,0,0,1,1,1,,1,,1,,,1,,,1,,,,,,,,,,,,
E. alpina,alpina,0,27,8,1,F,EW1305,MO939304,Escalloniaceae,Escallonia alpina Poepp. ex DC. var. alpina ,Chile,Nuble,Baños de Chillán,Aguas Calientes,,2100,-36.9,36,53,60,S,-71.56666667,71,34,0,W,E. Werdermann,1305,3/1/27,H. Sleumer 1968,,E. rosea by R. Liesner 1977; E. rosea by C.W. Hamilton 1999,,0,0,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,
E. alpina,alpina,0,27,8,1,F,EW667,MO956370,Escalloniaceae,Escallonia alpina Poepp. ex DC. var. alpina ,Chile,Llanquihue,,Volcán Yates,,1200,-41.75472222,41,45,17,S,-72.40111111,72,24,4,W,E. Werdermann,667,3/1/25,Sleumer 1968,,E. rosea (by E. Werdermann?); E. rosea C.W. Hamilton,,0,0,1,1,1,1,1,,1,,,1,,,,,,,,,,,,,,,
E. alpina,alpina,0,27,8,1,F,WE24190,MO1242108,Escalloniaceae,Escallonia alpina Poepp. ex DC. var. alpina ,Chile,Magallanes,Ultima Esperanza,"Cerro Doratea, 5 km north of Puerto Natales",Semishade of Nothofagus talus slope,50,-51.73333333,51,43,60,S,-72.51666667,72,31,0,W,"W.J. Eyerdam, A.A. Beetle, E. Grondona",24190,1/8/39,Sleumer 1968,"Shrub to 0.5 m, corolla white or pink-tinged",E. alpina by I.M Johnston 1939; E. rosea by C.W. Hamilton 1999,,0,0,1,,,,1,,1,,1,,,,,,,,,,,,,,,,
E. alpina,carmelitana,0,27,8,2,F,ZR138,L58,Escalloniaceae,Escallonia alpina Poepp. ex DC. var. carmelitana (Meyen) Acevedo & Kausel,Argentina,Neuquén,Loncopué,Cajón Chenque Pehuén,Valle a la entrada del Cajón,1776,-38.1,38,6,,S,-70.91666667,70,55,,W,"Z. Rúgolo, E. Agrasar",138,1/14/65,Sleumer 1966,Arbusto 0.70 m,,,0,0,,,,,,,,1,,,,,,,,,,,,,,,,,
E. alpina,carmelitana,0,27,8,2,F,JW5159,MO1165975,Escalloniaceae,Escallonia alpina Poepp. ex DC. var. carmelitana (Meyen) Acevedo & Kausel ,Chile,Valparaiso,,"Cerro Vizcachas, Ridge of Cerro","Mountain flats, among open growth of xerophytic shrubs",2100,-33.08333333,33,5,0,S,-70.76666667,70,46,0,W,J. West,5159,1/15/36,Sleumer 1966,"Shrub 1-1.5 m high; dark crimson flower. Only few spcms seen, mostly near a small sping. Plant forms dense, twiggy, hemispherical bushes","E. carmelitana by I.M. Johnston, E. rosea by C.W. Hamilton 1999",,0,0,1,,,,1,,1,,,,,,,,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,JS4381,MO2737973,Escalloniaceae,Escallonia alpina Poepp. ex. DC,Chile,Nuble,Termas de Chillán,ca. 300 m above Termas de Chillán,Rocky hillside,1200,-36.83333333,36,50,0,S,-71.41666667,71,25,0,W,"J.C. Solomon, A. Solomon",4381,1/17/79,F. Zapata 2005,"Shrub +/- 70 cm, flowers red, leaves dark green above, pale green beneath",E. sparsiflora by R. Liesner 1985; E. rosea by C.W. Hamilton 1999,SIngle flowers or just 2 per inflorescence,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,OZ8086,MO2313921,Escalloniaceae,Escallonia alpina Poepp. ex. DC.,Chile,Los Lagos,Osorno,Antillanca,On the Volcán Antillanca,1000,-40.75,40,45,0,S,-72.15,72,9,0,W,O. Zöllner,8086,2/9/74,F. Zapata 2005,,"E. virgata (I guess by O.Zöllner), E. rosea CW. Hamilton",,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
